Symbol	Count_DE	Proportion_DE_measured	Proportion_DE_all	Count_NA	GoF_down	GoF_up	LoF_down	LoF_up	Avg_abs_FC	FC_purity	FC_signed_purity	DE_prior_rank	Mean_bind	Proportion_binary	Curated_target	Rank_binding	Rank_perturbation	Rank_integrated
Cdk5rap2	3	0.333	0.3	1	0	0	5	4	0.316986666666667	0.555555555555556	0.555555555555556	0.414150518251465	0.356666898842332	1	FALSE	122	3018	225
Rictor	5	0.5	0.5	0	0	1	4	5	0.399885	0.6	-0.6	0.362776025236593	0.0238141376345922	0	FALSE	4468	83	226
Dda1	4	0.4	0.4	0	1	0	6	3	0.12826285	0.7	-0.7	0.188423213659807	0.315231279814131	1	FALSE	241	1545	227
Klhdc8a	4	0.5	0.4	2	1	0	4	3	0.566025	0.625	-0.625	0.77282058985529	0.221109928679196	1	FALSE	954	393	228
Abhd4	5	0.5	0.5	0	1	0	6	3	0.3946048	0.7	-0.7	0.545240598868359	0.0238141376345922	0	FALSE	4468	84	229
Dnase1l2	4	0.444	0.4	1	0	0	3	6	0.914474444444444	0.666666666666667	-0.666666666666667	0.570076611086075	0.196169912520544	0	FALSE	1410	267	230
Synpo	4	0.4	0.4	0	1	0	5	4	0.496498	0.6	-0.6	0.893946222021932	0.231000882805071	1	FALSE	823	460	231
Anln	4	0.4	0.4	0	1	0	6	3	0.395529	0.7	-0.7	0.950277902959291	0.251509922988608	1	FALSE	614	618	232
Tmem203	1	0.1	0.1	0	0	1	3	6	0.2303138	0.7	-0.7	0.27389715086876	0.426441764315441	1	FALSE	33	11512	233
T2	3	0.3	0.3	0	0	1	4	5	0.486639	0.6	-0.6	0.520404586650643	0.335324486188657	1	FALSE	174	2197	234
Sdc1	5	0.5	0.5	0	0	1	6	3	0.388298	0.7	0.7	0.943317810825697	0.0238141376345922	0	FALSE	4468	86	235
Nap1l5	3	0.375	0.3	2	1	0	4	3	0.681525	0.625	-0.625	0.85346252065495	0.32442375882409	1	FALSE	208	1855	236
Abhd8	3	0.3	0.3	0	1	0	7	2	0.1922333	0.8	-0.8	0.573731911271343	0.37562938713724	1	FALSE	88	4400	237
Etv4	5	0.5	0.5	0	0	1	7	2	0.387006	0.8	0.8	0.909919383105503	0.0238141376345922	0	FALSE	4468	87	238
1700025G04Rik	5	0.5	0.5	0	1	0	2	7	0.30415	0.8	0.8	0.674202593760953	0.140487241450718	0	FALSE	3064	129	239
St6gal1	4	0.4	0.4	0	1	0	2	7	0.445973	0.8	0.8	0.875519503279756	0.237924598267027	1	FALSE	747	532	240
Shc3	5	0.625	0.5	2	0	1	4	3	0.38187625	0.625	0.625	0.675729808221922	0.0238141376345922	0	FALSE	4468	89	241
Cxxc5	4	0.4	0.4	0	1	0	5	4	0.502185	0.6	-0.6	0.587201442091032	0.226308432876301	1	FALSE	880	453	242
Mrpl44	5	0.5	0.5	0	0	1	3	6	0.241968	0.7	-0.7	0.240724049872315	0.160060684006711	0	FALSE	2392	167	243
Trib2	5	0.5	0.5	0	1	0	6	3	0.315452	0.7	-0.7	0.841770567322618	0.130773931488975	0	FALSE	3412	118	244
Cdk2ap1	3	0.3	0.3	0	0	1	5	4	0.417768	0.6	0.6	0.337864904110961	0.338005014701857	1	FALSE	166	2434	245
Arid3a	3	0.3	0.3	0	1	0	1	8	0.399763	0.9	0.9	0.424215111912273	0.33966014199033	1	FALSE	161	2513	246
Grasp	3	0.333	0.3	1	1	0	4	4	0.437038888888889	0.555555555555556	0.555555555555556	0.783310800660958	0.335592813058129	1	FALSE	173	2344	247
