Symbol	Count_DE	Proportion_DE_measured	Proportion_DE_all	Count_NA	GoF_down	GoF_up	LoF_down	LoF_up	Avg_abs_FC	FC_purity	FC_signed_purity	DE_prior_rank	Mean_bind	Proportion_binary	Bind_logFC	Bind_adj_Pval	Curated_target	Rank_binding	Rank_perturbation	Rank_integrated
Ccdc189	1	0.037	0.034	2	4	1	13	7	0.343309888888889	0.68	-0.68	0.353437484352311	0.0908725354011813	0.476190476190476	0.0734008138040654	0.678839078513059	FALSE	4651	9136	7227
Lekr1	1	0.04	0.034	4	2	3	14	4	0.32164	0.739130434782609	0.739130434782609	0.221746532472085	0.091726805770779	0.492063492063492	0.0278660879809127	0.923029491280675	FALSE	4557	9325	7228
Tor1a	1	0.034	0.034	0	2	4	9	12	0.152650137931034	0.592592592592593	-0.592592592592593	0.0387561964849031	0.101334486887996	0.682539682539683	0.212543750068601	0.11259450223137	FALSE	3494	12162	7229
Icam2	1	0.036	0.034	1	3	2	8	13	0.285350607142857	0.615384615384615	0.615384615384615	0.678008111762055	0.0931681916023697	0.587301587301587	0.194838325868286	0.313145715518706	FALSE	4380	9702	7230
Tomt	0	0	0	19	1	0	5	2	1.15486	0.75	-0.75	NA	0.10318498154896	0.587301587301587	-0.04311914109452	0.792690377951662	FALSE	3294	12908	7231
Pax6	2	0.077	0.069	3	3	3	8	10	0.321306115384615	0.541666666666667	-0.541666666666667	0.867332632316859	0.0649963692785748	0.317460317460317	-0.168505086840495	0.509460955443803	FALSE	8577	4958	7232
Cenph	2	0.071	0.069	1	2	3	15	6	0.272169285714286	0.692307692307692	0.692307692307692	0.861749536828401	0.0685595371940928	0.428571428571429	0.0251742657107243	0.90960444335644	FALSE	7941	5356	7233
Abhd17c	2	0.069	0.069	0	3	3	12	9	0.218600689655172	0.555555555555556	0.555555555555556	0.410219818737169	0.0739751810696807	0.523809523809524	-0.0294659718070314	0.887964503768307	FALSE	7039	6043	7234
Pgap1	2	0.074	0.069	2	3	2	9	11	0.623418148148148	0.56	0.56	0.707826348204897	0.0492154928284033	0.285714285714286	-0.15878133127131	0.293415711681747	FALSE	11153	3815	7235
Marchf7	0	0	0	24	2	1	0	0	0.150526	0.666666666666667	0.666666666666667	NA	0.111486169357189	0.523809523809524	0.184663083030358	0.260505020408939	FALSE	2547	16711	7236
Mff	3	0.103	0.103	0	2	4	10	11	0.161816724137931	0.555555555555556	-0.555555555555556	0.515772870662461	0.0416540592224688	0.253968253968254	-0.075053392424838	0.600980685482553	FALSE	12473	3413	7237
Garnl3	1	0.038	0.034	3	3	2	6	13	0.361663846153846	0.666666666666667	0.666666666666667	0.648064693806019	0.0901024809692579	0.53968253968254	0.0954904182198888	0.546511575198266	FALSE	4740	8982	7238
Leng8	0	0	0	0	4	2	9	12	0.26253324137931	0.592592592592593	0.592592592592593	0.454809473736919	0.108041759389838	0.634920634920635	0.181246458516135	0.18701650284495	FALSE	2829	15060	7239
St14	2	0.069	0.069	0	3	3	11	10	0.350036896551724	0.518518518518518	0.518518518518518	0.923388913925192	0.0629709172597935	0.428571428571429	-0.0738412733834419	0.664389404660516	FALSE	8897	4789	7240
Atp13a1	1	0.034	0.034	0	3	3	8	13	0.156565517241379	0.592592592592593	-0.592592592592593	0.109759150768614	0.101014754965238	0.507936507936508	0.149782410011973	0.26570251319179	FALSE	3530	12074	7241
Cdkn2b	1	0.036	0.034	1	3	3	9	11	0.573663214285714	0.538461538461538	-0.538461538461538	0.835361273847078	0.0848929203194914	0.46031746031746	0.127216231726397	0.418843672774818	FALSE	5443	7831	7242
Nudt22	1	0.034	0.034	0	3	3	10	11	0.213475862068966	0.518518518518518	-0.518518518518518	0.274347804316259	0.0970944301152084	0.698412698412698	-0.125258861690755	0.466064098460762	FALSE	3965	10752	7243
Coq3	3	0.103	0.103	0	2	4	10	11	0.154616551724138	0.555555555555556	-0.555555555555556	0.210380051074057	0.0425504130377416	0.301587301587302	-0.0956248514702818	0.664389404660516	FALSE	12311	3464	7244
Ppid	2	0.118	0.069	12	1	0	9	5	0.279912352941176	0.666666666666667	-0.666666666666667	0.186194982724951	0.0678579201913992	0.476190476190476	-0.0939300408328467	0.559056860871925	FALSE	8077	5280	7245
Zbtb24	1	0.038	0.034	3	2	2	11	9	0.186404153846154	0.541666666666667	0.541666666666667	0.0848730659456211	0.099018551682372	0.571428571428571	0.0175597312399223	0.948558044706135	FALSE	3741	11402	7246
Cd300ld	2	0.074	0.069	2	1	5	9	10	0.523493407407407	0.6	-0.6	0.864178058184367	0.0529963109548494	0.492063492063492	NA	NA	FALSE	10541	4048	7247
