Symbol	Count_DE	Proportion_DE_measured	Proportion_DE_all	Count_NA	GoF_down	GoF_up	LoF_down	LoF_up	Avg_abs_FC	FC_purity	FC_signed_purity	Count_DE_mm	Count_DE_hg	Mean_bind	Proportion_binary	Curated_target	Rank_binding	Rank_perturbation	Rank_integrated
WDR44_Wdr44	6	0.6	0.6	0	3	2	3	2	0.380342	0.6	-0.6	4	2	0.0505429989191835	0.5	FALSE	10774	865	2478
EIF2D_Eif2d	4	0.444	0.4	1	2	2	3	2	0.160581111111111	0.555555555555556	0.555555555555556	3	1	0.125960278364369	0.625	FALSE	1686	5530	2479
LMNB1_Lmnb1	3	0.3	0.3	0	2	3	0	5	0.49312953	0.8	-0.8	1	2	0.133442368044314	0.6875	FALSE	1334	6992	2480
C19orf54_BC024978	1	0.167	0.1	4	3	1	1	1	0.243371666666667	0.666666666666667	0.666666666666667	1	0	0.153605090786672	0.625	FALSE	659	14159	2481
LAG3_Lag3	3	0.3	0.3	0	5	0	1	4	0.7424853	0.9	0.9	3	0	0.130271466956533	0.625	FALSE	1475	6333	2482
BHLHE41_Bhlhe41	5	0.5	0.5	0	3	2	4	1	0.603666	0.7	-0.7	5	0	0.0883572188087151	0.5625	FALSE	5185	1802	2483
PHYHD1_Phyhd1	4	0.444	0.4	1	4	0	3	2	0.646338888888889	0.777777777777778	-0.777777777777778	3	1	0.113091319542928	0.5625	FALSE	2549	3671	2484
TPD52_Tpd52	5	0.556	0.5	1	3	1	3	2	0.353444444444444	0.666666666666667	-0.666666666666667	5	0	0.097116232304964	0.5	FALSE	4107	2279	2485
POU3F1_Pou3f1	4	0.4	0.4	0	1	4	3	2	0.5959012	0.7	0.7	4	0	0.114243539609999	0.625	FALSE	2470	3790	2486
PRADC1_Pradc1	2	0.2	0.2	0	2	3	3	2	0.238939	0.6	0.6	1	1	0.147250592966008	0.6875	FALSE	818	11449	2487
TWSG1_Twsg1	5	0.5	0.5	0	4	1	1	4	0.251494	0.8	0.8	3	2	0.101885698983322	0.6875	FALSE	3616	2590	2488
FLOT1_Flot1	1	0.111	0.1	1	2	2	1	4	0.160946666666667	0.666666666666667	-0.666666666666667	1	0	0.154349055690299	0.8125	FALSE	641	14616	2489
PLCH2_Plch2	3	0.3	0.3	0	1	4	4	1	1.1142931	0.8	0.8	2	1	0.127172352709406	0.4375	FALSE	1614	5806	2490
NR2F2_Nr2f2	4	0.4	0.4	0	3	2	1	4	0.720961	0.7	0.7	3	1	0.111579008085506	0.625	FALSE	2668	3513	2491
MACROD1_Macrod1	1	0.1	0.1	0	3	2	4	1	0.4116711	0.7	-0.7	1	0	0.152410201165061	0.6875	FALSE	687	13652	2492
ACSF3_Acsf3	3	0.333	0.3	1	1	3	3	2	0.249188888888889	0.666666666666667	0.666666666666667	3	0	0.138220151473807	0.625	FALSE	1148	8171	2493
F3_F3	6	0.6	0.6	0	5	0	4	1	0.611679	0.9	-0.9	4	2	0.0294252060467979	0.1875	FALSE	13826	679	2494
PRKAR1B_Prkar1b	4	0.444	0.4	1	0	4	2	3	0.804862222222222	0.777777777777778	-0.777777777777778	3	1	0.110210111259774	0.625	FALSE	2795	3361	2495
CPD_Cpd	5	0.5	0.5	0	5	0	1	4	0.368528	0.9	0.9	4	1	0.0960493465007891	0.625	FALSE	4210	2232	2496
LDLR_Ldlr	1	0.1	0.1	0	3	2	2	3	0.366921	0.6	0.6	1	0	0.152675786837639	0.6875	FALSE	683	13778	2497
OSBPL11_Osbpl11	6	0.6	0.6	0	4	1	2	3	0.252532	0.7	0.7	5	1	0.0615463371523877	0.4375	FALSE	9199	1024	2498
DTX4_Dtx4	6	0.6	0.6	0	2	3	3	2	0.5110436	0.6	0.6	5	1	0.0383543544096466	0.1875	FALSE	12562	750	2499
