Symbol	Count_DE	Proportion_DE_measured	Proportion_DE_all	Count_NA	GoF_down	GoF_up	LoF_down	LoF_up	Avg_abs_FC	FC_purity	FC_signed_purity	Count_DE_mm	Count_DE_hg	Mean_bind	Proportion_binary	Curated_target	Rank_binding	Rank_perturbation	Rank_integrated
BRI3BP_Bri3bp	4	0.19	0.174	2	1	2	8	4	0.313780771428571	0.666666666666667	0.666666666666667	3	1	0.0859452561008158	0	FALSE	4040	2891	3047
ARL14_Arl14	1	0.083	0.043	11	0	0	3	4	0.526768333333333	0.571428571428571	-0.571428571428571	1	0	0.129380231028064	0.272727272727273	FALSE	954	12247	3048
MKI67_Mki67	5	0.217	0.217	0	2	1	9	5	0.535844826086956	0.647058823529412	-0.647058823529412	3	2	0.0350507638749955	0.0909090909090909	FALSE	13971	837	3049
RTP4_Rtp4	1	0.056	0.043	5	0	1	7	4	0.500392777777778	0.666666666666667	0.666666666666667	1	0	0.129627172844862	0.272727272727273	FALSE	945	12379	3050
MIIP_Miip	5	0.227	0.217	1	2	1	4	9	0.370811818181818	0.6875	0.6875	4	1	0.049839743693661	0.272727272727273	FALSE	10688	1095	3051
PGP_Pgp	3	0.136	0.13	1	1	2	5	8	0.238261227272727	0.625	-0.625	3	0	0.110459190706721	0.454545454545455	FALSE	1844	6347	3052
DCAF8_Dcaf8	3	0.136	0.13	1	3	0	9	4	0.328823181818182	0.75	-0.75	1	2	0.107011373242681	0.181818181818182	FALSE	2084	5621	3053
SEC11A_Sec11a	4	0.174	0.174	0	1	2	8	6	0.174575217391304	0.588235294117647	0.588235294117647	2	2	0.092592382540228	0.0909090909090909	FALSE	3306	3546	3054
SPIN1_Spin1	3	0.136	0.13	1	1	2	6	7	0.406872727272727	0.5625	-0.5625	3	0	0.104218320559802	0.181818181818182	FALSE	2292	5118	3055
SEC22C_Sec22c	4	0.19	0.174	2	1	2	9	3	0.321379857142857	0.733333333333333	0.733333333333333	3	1	0.0852906516749228	0.272727272727273	FALSE	4127	2845	3056
MRPL1_Mrpl1	3	0.13	0.13	0	0	3	4	10	0.231699565217391	0.764705882352941	-0.764705882352941	2	1	0.110775745489771	0.272727272727273	FALSE	1828	6427	3057
